Amount;Creation date;Closing date;Pipeline;Status;Customer;Country;Product;Sales person;Probability;Source;Expected amount;Color
8,981.324;01-07-2010 02:55:23;05-06-2010 02:55:23;EARLY;VERBAL COMMITMENT;Company 3;Russia;PRODUCT 5;Darryl Innes;10.906;Event;97,952.459;RED
10,114.118;01-02-2010 18:22:23;04-22-2010 18:22:23;STANDBY;LOST;Company 6;Belgium;PRODUCT 2;Nita Marling;64.369;Event;651,034.992;YELLOW
8,865.714;01-01-2010 08:12:23;04-17-2010 08:12:23;ADVANCED;STANDBY;Company 6;United States;PRODUCT 4;Nita Marling;63.016;Event;558,677.705;YELLOW
12,963.316;01-20-2010 04:07:23;05-19-2010 04:07:23;STANDBY;QUALIFIED;Company 8;Canada;PRODUCT 6;Roxie Foraker;0.533;Partner;6,913.755;RED
12,853.619;01-16-2010 15:23:23;05-24-2010 15:23:23;ADVANCED;QUALIFIED;Company 2;Australia;PRODUCT 11;Darryl Innes;88.917;Event;1,142,911.088;GREEN
11,033.237;01-24-2010 08:49:23;05-07-2010 08:49:23;EARLY;CONTACTED;Company 7;Mexico;PRODUCT 8;Neva Hunger;52.609;Lead generation;580,450.857;YELLOW
14,453.529;01-27-2010 09:04:23;05-13-2010 09:04:23;STANDBY;STANDBY;Company 9;Russia;PRODUCT 10;Neva Hunger;71.372;Website;1,031,570.127;YELLOW
14,855.291;01-11-2010 03:39:23;04-16-2010 03:39:23;STANDBY;WIN;Company 4;Brazil;PRODUCT 4;Jamie Gilbeau;44.165;Reference;656,086.973;GREY
11,638.799;01-06-2010 05:45:23;05-12-2010 05:45:23;STANDBY;CONTACTED;Company 5;Saudi Arabia;PRODUCT 8;Jerri Preble;71.295;Reference;829,788.228;YELLOW
14,624.647;01-16-2010 00:55:23;04-20-2010 00:55:23;STANDBY;SHORT LISTED;Company 6;Brazil;PRODUCT 2;Kathrine Janas;77.087;Event;1,127,377.228;GREEN
14,810.872;01-10-2010 12:16:23;05-01-2010 12:16:23;STANDBY;QUALIFIED;Company 8;Australia;PRODUCT 1;Neva Hunger;20.369;Lead generation;301,678.392;RED
10,981.821;01-16-2010 03:43:23;04-25-2010 03:43:23;EARLY;LOST;Company 7;Poland;PRODUCT 10;Julio Burdge;65.007;Customer;713,889.867;YELLOW
13,774.228;01-23-2010 20:50:23;06-06-2010 20:50:23;EARLY;WIN;Company 3;India;PRODUCT 11;Kathrine Janas;7.783;Reference;107,204.915;RED
13,555.983;01-26-2010 16:19:23;05-04-2010 16:19:23;STANDBY;SHORT LISTED;Company 6;United States;PRODUCT 11;Nita Marling;85.863;Lead generation;1,163,959.291;GREEN
12,223.044;01-11-2010 16:26:23;04-16-2010 16:26:23;EARLY;DEMO;Company 5;South Korea;PRODUCT 3;Roxie Foraker;11.125;Reference;135,978.37;RED
10,769.977;01-14-2010 20:52:23;05-24-2010 20:52:23;EARLY;QUALIFIED;Company 4;Turkey;PRODUCT 8;Roxie Foraker;3.616;Personal contact;38,942.757;RED
14,239.58;01-05-2010 12:57:23;05-08-2010 12:57:23;ADVANCED;VERBAL COMMITMENT;Company 8;Switzerland;PRODUCT 1;Darryl Innes;21.405;Personal contact;304,794.84;RED
12,407.066;01-09-2010 18:26:23;05-16-2010 18:26:23;ADVANCED;LOST;Company 4;Canada;PRODUCT 6;Darryl Innes;9.089;Customer;112,762.559;RED
8,304.276;01-10-2010 13:03:23;04-11-2010 13:03:23;ADVANCED;CONTACTED;Company 3;Turkey;PRODUCT 8;Roxie Foraker;12.226;Partner;101,527.044;RED
14,439.387;01-14-2010 06:29:23;04-17-2010 06:29:23;STANDBY;STANDBY;Company 9;Saudi Arabia;PRODUCT 6;Kathrine Janas;29.959;Lead generation;432,589.501;GREY
8,317.578;01-08-2010 06:47:23;04-20-2010 06:47:23;EARLY;WIN;Company 9;Mexico;PRODUCT 3;Jerri Preble;3.092;Event;25,715.304;RED
8,618.138;01-26-2010 21:20:23;05-12-2010 21:20:23;STANDBY;SHORT LISTED;Company 7;Switzerland;PRODUCT 11;Jerri Preble;59.888;Lead generation;516,120.228;YELLOW
8,133.471;01-26-2010 03:34:23;05-12-2010 03:34:23;ADVANCED;QUALIFIED;Company 9;Spain;PRODUCT 2;Darryl Innes;66.856;Lead generation;543,770.216;YELLOW
12,325.47;01-16-2010 10:00:23;05-19-2010 10:00:23;EARLY;VERBAL COMMITMENT;Company 7;Germany;PRODUCT 7;Darryl Innes;56.788;Partner;699,934.689;YELLOW
